Model Setup,Mean_AUC,Sharpe_Gross,Sharpe_Net,Max_DD,Trades,Turn%
Raw RF,0.5521755093996453,1.5172216180561895,0.28153799239639,-0.3539781217848739,658,32.9
Raw XGBoost,0.539517927405986,1.415533530506328,0.006955985903597811,-0.4291236213944569,758,37.9
Raw LogReg,0.5467331093012018,1.3307859294537467,-0.050748511357423184,-0.3677995905709387,683,34.150000000000006
"RF + Filter [0.42, 0.58]",0.5521755093996453,0.9828059972548661,0.8052243240304199,-0.2667919136393093,91,4.55
"XGBoost + Filter [0.38, 0.62]",0.539517927405986,1.2078769161579654,0.6759272522500173,-0.3525945406661321,293,14.649999999999999
"LogReg + Filter [0.33, 0.67]",0.5467331093012018,1.2612851457815324,1.0366837472687145,-0.13343712510767985,108,5.4
MA Crossover Baseline (20/50),0.5051520322711804,0.6966157223826904,0.6145553229771843,-0.2919893663232841,43,2.15
Buy & Hold Baseline,,0.5099952737944153,0.5099952737944153,-0.43468584421576206,1,0.0
