Feature Group,Num_Features,Cumulative_AUC_RF,Cumulative_AUC_XGBoost,Cumulative_AUC_LogReg
G1_Technical,21,0.48875654163486093,0.4765151431781416,0.4738949876895711
G2_MoneyFlow,5,0.4957521266878694,0.4895573948111117,0.5026296596799189
G3_MacroGlobal,24,0.5657775078809755,0.5408935340485154,0.566630884219941
G4_Calendar,18,0.5149520938733982,0.5108953048294298,0.5132728533283177
G_ALL_Full_Matrix,68,0.5521755093996453,0.539517927405986,0.5467331093012018
