Date,Open,High,Low,VNIndex,Volume,SP500,SP500_Return,NASDAQ,NASDAQ_Return,Gold,Gold_Return,Oil,Oil_Return,DXY,DXY_Return,VIX,VIX_Return,HSI,HSI_Return,Nikkei,Nikkei_Return,US3M,US3M_Return,Foreign_Net_Buy,VCB_R,VHM_R,HPG_R
2014-01-02,505.61,506.71,503.04,504.51,54996230,1831.97998046875,,4143.06982421875,,1225.0,,95.44000244140625,,80.62999725341797,,14.229999542236328,,23340.05078125,,,,0.057999998331069946,,0.0,-0.003731391767776926,,0.0
2014-01-03,504.51,506.28,503.94,505.37,50118840,1831.3699951171875,-0.00033296507498215,4131.91015625,-0.002693574678253041,1238.4000244140625,0.010938795440051052,93.95999908447266,-0.015507159671776183,80.79000091552734,0.001984418548427902,13.760000228881836,-0.033028765177361974,22817.279296875,-0.022398044000613848,,,0.057999998331069946,0.0,0.0,0.01872664560012649,,0.012165496257181108
2014-01-06,505.74,509.1,504.28,509.1,68130860,1826.77001953125,-0.0025117674736410134,4113.68017578125,-0.004411998271834361,1237.800048828125,-0.0004844764002821522,93.43000030517578,-0.0056406852326637,80.6500015258789,-0.0017328801592021437,13.550000190734863,-0.015261630425426054,22684.150390625,-0.005834565309819073,15908.8798828125,,0.04500000178813934,-0.22413787787932837,0.0,-0.003676518344043478,,0.016826889119878397
2014-01-07,510.84,513.0,509.87,510.12,71614380,1837.8800048828125,0.006081764662643874,4153.18017578125,0.009602107677828542,1229.4000244140625,-0.0067862530963826995,93.66999816894531,0.002568745188757493,80.83000183105469,0.0022318698297609796,12.920000076293945,-0.04649447273600005,22712.779296875,0.0012620664982820884,15814.3701171875,-0.005940692639656242,0.0430000014603138,-0.04444444996339281,0.0,0.02214041626057317,,-0.002364146679050938
2014-01-08,511.03,514.2,509.01,513.9,68629490,1837.489990234375,-0.0002122089839386998,4165.60986328125,0.0029928120076470055,1225.300048828125,-0.003334940218413962,92.33000183105469,-0.014305501911869078,81.04000091552734,0.002598033894785523,12.869999885559082,-0.0038699837801553505,22996.58984375,0.012495632664120793,16121.4501953125,0.019417787483755555,0.03999999910593033,-0.06976749424421014,0.0,0.014440251673901505,,0.00710912781028572
2014-01-09,513.66,516.98,513.52,516.98,88948710,1838.1300048828125,0.0003483091890779111,4156.18994140625,-0.002261354803778981,1229.300048828125,0.0032645065213419144,91.66000366210938,-0.0072565596843729985,81.01000213623047,-0.0003701724945455176,12.890000343322754,0.0015540371360929228,22787.330078125,-0.009099599855753038,15880.330078125,-0.014956478124877881,0.032999999821186066,-0.1749999860301611,0.0,0.0071177113472524756,,0.016470732893314688
2014-01-10,518.33,523.06,518.24,518.94,92706120,1842.3699951171875,0.002306686808393188,4174.669921875,0.004446375341184972,1246.699951171875,0.014154316808444811,92.72000122070312,0.011564450319042852,80.66000366210938,-0.004320435315290028,12.140000343322754,-0.05818463770549964,22846.25,0.0025856439377933693,15912.0595703125,0.0019980373223607018,0.032999999821186066,0.0,0.0,-0.01766798004319159,,-0.0023149515793771114
2014-01-13,519.31,522.32,518.78,521.11,68452030,1819.199951171875,-0.012576216507389826,4113.2998046875,-0.014700591504474336,1250.9000244140625,0.0033689527606377556,91.80000305175781,-0.00992232697188411,80.51000213623047,-0.0018596766559455524,13.279999732971191,0.09390439517371685,22888.759765625,0.0018606889806860316,15912.0595703125,0.0019980373223607018,0.029999999329447746,-0.09090910630285254,0.0,-0.010791414596502569,,0.004640411960910473
2014-01-14,521.13,524.59,520.63,522.31,85746090,1838.8800048828125,0.010817971767347556,4183.02001953125,0.016949947281814204,1245.199951171875,-0.0045567776248605085,92.58999633789062,0.008605591066128904,80.61000061035156,0.00124206274335803,12.279999732971191,-0.07530120633340298,22791.279296875,-0.004258879456474518,15422.400390625,-0.030772834749881683,0.032999999821186066,0.1000000186264518,0.0,0.007272821384039618,,0.039261080013746286
2014-01-15,523.72,527.09,522.45,526.68,126092570,1848.3800048828125,0.005166188100786506,4214.8798828125,0.007616474014585428,1238.0999755859375,-0.0057018758949159976,94.16999816894531,0.017064498256256,81.0,0.004838101807412176,12.279999732971191,0.0,22902.0,0.004858029322653223,15808.73046875,0.025049931809567383,0.03500000014901161,0.060606070868568285,0.0,0.0,,0.022221965654068088
2014-01-16,528.83,533.54,527.9,533.54,91792850,1845.8900146484375,-0.0013471203041567348,4218.68994140625,0.0009039542524773569,1240.0,0.0015346292315072674,93.95999908447266,-0.002229999878474165,80.9000015258789,-0.0012345490632234002,12.529999732971191,0.020358306631616863,22986.41015625,0.0036857111278489896,15747.2001953125,-0.0038921704408289015,0.029999999329447746,-0.14285716566504258,0.0,0.0,,0.03260887563122172
2014-01-17,536.81,549.88,536.81,543.59,114980130,1838.699951171875,-0.0038951743709020326,4197.580078125,-0.005003890680388201,1251.699951171875,0.009435444493447687,94.37000274658203,0.004363597978973788,81.26000213623047,0.004449945655889742,12.4399995803833,-0.007182773703583223,23133.349609375,0.00639244893509594,15734.4599609375,-0.0008090475904911631,0.029999999329447746,0.0,0.0,0.025270532192702255,,0.06315791373984747
2014-01-20,548.22,559.93,548.22,553.67,101980700,1838.699951171875,-0.0038951743709020326,4197.580078125,-0.005003890680388201,1251.699951171875,0.009435444493447687,94.37000274658203,0.004363597978973788,81.26000213623047,0.004449945655889742,12.4399995803833,-0.007182773703583223,22928.94921875,-0.008835745539511719,15641.6796875,-0.005896629033842693,0.029999999329447746,0.0,0.0,0.02816920317243876,,0.02970282887604281
