Date,VNIndex,Open,High,Low,Volume,VN_Return,VN_Return_5d,VN_Return_20d,RSI,MACD_DIFF,BB_WIDTH,BB_PCT,ATR14_PCT,STOCH_K,STOCH_D,OBV_Trend,Price_vs_MA20,Price_vs_MA50,Volume_Shock,Volume_Shock_5,HL_Range,VN_Return_lag_1,VN_Return_lag_2,VN_Return_lag_3,VN_Return_lag_5,VN_Return_lag_7,Foreign_Net_Ratio,Foreign_Net_MA5,Sector_Momentum,Sector_Divergence,SP500_Return,NASDAQ_Return,Gold_Return,Oil_Return,DXY_Return,VIX,VN_HV5,VN_HV10,VN_VIX_Signal,FX_Stress,FX_Stress_20d,Asia_Sentiment,Is_Earnings_Season,Is_Earnings_Peak,Is_Deriv_Expiry,Is_Pre_Expiry,Is_Quarter_End,Is_Quarter_End_Week,Is_Near_Tet,Is_Tet_Zone,Is_Monday,Is_Friday,Is_Month_Start,Is_Month_End,Month_Sin,Month_Cos,DOW_Sin,DOW_Cos,Next_Return,Target,SP500_Return_lag1,NASDAQ_Return_lag1,Gold_Return_lag1,Oil_Return_lag1,DXY_Return_lag1,VIX_Return,VIX_Change,HSI_Return,Nikkei_Return,VN_HV20_Roll,Regime_HighVol,Regime_LowVol,Regime_Uptrend,Regime_Downtrend,Regime_Crisis,SP500_x_VolShock,RSI_x_HV10,Return_x_VolShock,SP500_x_Trend,WinRate_10d,WinRate_20d,Consec_Up
2014-03-21,601.75,600.48,607.22,600.48,224867350,0.0024822576883349,0.0082435534406781,0.054647107278686,69.11595892183905,0.2175706626522977,6.987057152894479,0.831530624671128,1.1417318964301444,85.57347670250887,89.15120176603362,0.4252190510568288,2.31642342251198,7.035548431117659,1.4479560911075116,1.1818270954232644,1.120066472787704,-0.0088013342360343,0.0095690589313994,-0.0008494903058164,0.0027048822284196,0.0025828377230245,0.0,0.0,0.0065145759932716,0.0092130017227949,-0.0029326714097337,-0.0098395800271899,0.0041337842916195,0.00030170752494,-0.0012467083314111,15.0,0.1114238365933603,0.0879696583159315,0.638070585096009,0.1685994786085798,-0.4260928567954592,-0.0022298229074309,0,0,0,1,1,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,-0.9510565162951536,0.3090169943749472,0.0096385542168673,1,,,,,,15.0,0.0330578186710508,0.0120166716058416,,,0,0,0,0,0,,6.080107290532139,-0.012743945516938943,,,,
2014-03-24,607.55,606.55,609.2,604.18,189271920,0.0096385542168673,0.0119761476447464,0.0537132748274304,72.31678989183487,0.3450948965750324,7.285065410589577,0.916102072799104,1.1376468947645595,95.5284552845526,87.77919835649955,0.4732339117294677,3.031330817823377,7.672529477692078,1.1894409296284911,0.9662773691191424,0.8262694428442262,0.0024822576883349,-0.0088013342360343,0.0095690589313994,0.0059145820417874,0.0088132605674384,0.0,0.0,0.0208694563004108,0.0023174877742803,-0.0048647097432581,-0.0117845163974422,-0.0185629107994947,0.0014075949219498,-0.0022469142904053,15.09000015258789,0.1229192395730518,0.0918035840856285,0.668980777690564,0.1362500775489827,-0.3098908723263838,0.0183826184650636,0,0,0,0,1,1,0,0,1,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,-0.0093819438729321,0,-0.0029326714097337,-0.0098395800271899,0.0041337842916195,0.00030170752494,-0.0012467083314111,15.09000015258789,0.0060000101725259,0.0191144166281722,0.0176508203019549,,0,0,0,0,0,-0.00348823940788855,6.638940501637792,0.0029524988923905326,-0.0,,,
2014-03-25,601.85,609.01,609.46,601.85,245217840,-0.0093819438729321,0.0033341668750521,0.0266973729102695,65.16856329362287,-0.0573344856255761,7.468256460207175,0.7583516089941797,1.156707986314187,78.11960897067281,86.40718031924477,0.2968735021871841,1.929436072875701,6.298839888178262,1.492497917966237,1.188664594481868,1.2644346597989555,0.0096385542168673,0.0024822576883349,-0.0088013342360343,-0.0008494903058164,0.0027048822284196,0.0,0.0,-0.0157232807868785,0.0177889202831954,0.0044039398144655,0.0018644475681597,0.0001525878963073,-0.0041164260943374,0.0001251361965755,14.020000457763672,0.1492658238684488,0.1099913016663821,0.8269233302481233,0.1337133071827922,-0.2112156501116735,-0.0044120110628489,0,0,0,0,1,1,0,0,0,0,0,1,1.0,6.123233995736766e-17,0.9510565162951536,0.3090169943749474,-0.0229126858851874,0,-0.0048647097432581,-0.0117845163974422,-0.0185629107994947,0.0014075949219498,-0.0022469142904053,14.020000457763672,-0.07090786507651,-0.005224139863976,-0.0035998822617218,,0,0,0,0,0,-0.007260569163322781,7.167975104393588,0.01438552210087914,-0.0,,,
2014-03-26,588.06,603.54,603.68,587.52,246459570,-0.0229126858851874,-0.0289469773278953,-0.002967057187908,51.82253799193823,-1.286986737701321,7.477311379156143,0.447671024399427,1.2955603558822366,28.642880960319825,67.43031507184841,0.1419120212151431,-0.3912800447177486,3.574359859519588,1.45890003114271,1.1314446734617247,2.748018909635066,-0.0093819438729321,0.0096385542168673,0.0024822576883349,0.0095690589313994,0.0059145820417874,0.0,0.0,-0.0205047543735377,0.028998101728186,-0.0070003197637347,-0.0143330352401495,-0.0061003506566003,0.0107873744176616,0.0005003867188604,14.93000030517578,0.1978951724288201,0.1674158812247626,1.0666595569323891,-0.0023548115851612,-0.2734934237160891,0.0054469388482892,0,0,0,0,1,1,0,0,0,0,0,1,1.0,6.123233995736766e-17,0.5877852522924732,-0.8090169943749473,0.0035370540421046,1,0.0044039398144655,0.0018644475681597,0.0001525878963073,-0.0041164260943374,0.0001251361965755,14.93000030517578,0.0649072623181115,0.0071520061026617,0.0037418715939168,,0,0,0,0,0,0.006424907932474339,8.675915865224079,-0.013687318208399798,0.0,,,
2014-03-27,590.14,588.94,591.7,582.81,146465260,0.0035370540421046,-0.016859360943591,0.0091485832521076,53.3736009476649,-1.954946227794684,7.423874845084734,0.4886540353490119,1.3063817662445008,34.37499999999995,47.04582997699753,0.1873208085351713,-0.0842310215656911,3.648546875965984,0.887094066757288,0.6959411467234722,1.5064222049005491,-0.0229126858851874,-0.0093819438729321,0.0096385542168673,-0.0088013342360343,-0.0008494903058164,0.0,0.0,0.0097088243982438,0.0137303511386952,-0.0019000838946738,-0.0053551380919689,-0.0066749064594336,0.0101735150741415,0.001625371942507,14.619999885559082,0.2053325934870652,0.161375849741976,1.0465768753495812,-0.0248545552774714,-0.2984861542220551,0.0038154889338652,0,0,0,0,1,1,0,0,0,0,0,1,1.0,6.123233995736766e-17,-0.587785252292473,-0.8090169943749476,0.0070322296404241,1,-0.0070003197637347,-0.0143330352401495,-0.0061003506566003,0.0107873744176616,0.0005003867188604,14.619999885559082,-0.0207635909765675,-0.0024351877762675,0.0100661656439979,,0,0,0,0,0,-0.006209942127812833,8.613210206718557,-0.0203257077022232,-0.0,,,
2014-03-28,594.29,592.82,595.7,590.59,116220650,0.0070322296404241,-0.0123971749065227,0.0133167371436364,56.39033940577889,-2.0992737542524704,7.408167070932907,0.5745015198387344,1.271424215920305,43.18352059925076,35.400467186523514,0.2150214356021303,0.5519197060037669,4.083512004570428,0.703936559668373,0.6158134259589543,0.8598495683925379,0.0035370540421046,-0.0229126858851874,-0.0093819438729321,0.0024822576883349,0.0095690589313994,0.0,0.0,0.0113407987853807,0.0025697648504563,0.0046402218845611,0.0010911910873554,-0.0006950663301836,0.0038507049205076,0.0008737947109087,14.40999984741211,0.2157208757263967,0.1654261234755994,1.062203622482602,0.0175555055689269,-0.1664844225296757,0.0077925347953464,0,0,0,0,1,1,0,0,0,1,0,1,1.0,6.123233995736766e-17,-0.9510565162951536,0.3090169943749472,-0.0045768900705041,0,-0.0019000838946738,-0.0053551380919689,-0.0066749064594336,0.0101735150741415,0.001625371942507,14.40999984741211,-0.0143638878105875,0.0105832794686007,0.0050017901220922,,0,0,0,0,0,-0.001337538519897958,9.328435249371337,0.0024898616537602247,-0.0,,,3.0
2014-03-31,591.57,596.41,597.22,591.57,117084100,-0.0045768900705041,-0.0263023619455187,0.0317241619868151,53.92757880910173,-2.3414757038154264,6.872439813840166,0.4909661984843883,1.2542569608512228,32.87054409005656,36.80968822976909,0.125417508314491,-0.0620842572062191,3.3371414197524465,0.7145506906147215,0.6717794861335409,0.9550856196223568,0.0070322296404241,0.0035370540421046,-0.0229126858851874,0.0096385542168673,-0.0088013342360343,0.0,0.0,0.0,0.0,0.0079241022070266,0.0104025427811269,-0.0080383552493157,-0.00088518087451,-0.000997777884138,13.880000114440918,0.1874203062909818,0.1626131749267261,1.2337451404098043,0.0425382336942736,-0.0896773813646856,0.0064223166641644,0,0,0,0,1,1,0,0,1,0,0,1,1.0,6.123233995736766e-17,0.0,1.0,-0.0130500194397958,0,0.0046402218845611,0.0010911910873554,-0.0006950663301836,0.0038507049205076,0.0008737947109087,13.880000114440918,-0.0367799957379162,0.0038762383104089,0.00896839501792,,0,0,0,0,0,0.0033156737522186783,8.769334806259268,0.005024884546126355,0.0,,,3.0
2014-04-01,583.85,590.93,593.03,582.3,167165310,-0.0130500194397958,-0.029907784331644,0.0243521588855553,47.57655734263208,-2.9460784415498384,6.1154070236754245,0.257697103219737,1.3113385622897091,5.70692194403558,27.253662211114303,0.01739922000316,-1.4817808368269216,1.7578301330058494,1.0064710886410084,1.0534811359826126,1.837800805001288,-0.0045768900705041,0.0070322296404241,0.0035370540421046,-0.0093819438729321,0.0024822576883349,0.0,0.0,-0.004563881813584,0.0202289381899855,0.0070393485966973,0.0164443832524838,-0.0029609231384111,-0.0181138406587686,-0.0002496459856097,13.100000381469728,0.1941889676143173,0.1726268564699485,1.2384543970246702,0.035042590050569,-0.0578074241007309,0.005506236147797,1,1,0,0,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.9510565162951536,0.3090169943749474,-0.0037338357454826,0,0.0079241022070266,0.0104025427811269,-0.0080383552493157,-0.00088518087451,-0.000997777884138,13.100000381469728,-0.0561959457161438,0.0134295382830762,-0.0024170659874821,,0,0,0,0,0,0.007975379774808678,8.212991535720821,-0.004606507531850483,0.0,,,2.0
2014-04-02,581.67,584.17,586.5,574.4,142309840,-0.0037338357454826,-0.0108662381389653,0.011705569276794,45.9315507473214,-3.3858681316207324,5.737315449854987,0.1679055753865824,1.3708220977907222,20.73588134626346,19.771115793451862,-0.0684097304386625,-1.9053304731452627,1.164328073861929,0.8467941861441425,1.032360096659946,2.08021730534496,-0.0130500194397958,-0.0045768900705041,0.0070322296404241,-0.0229126858851874,0.0096385542168673,0.0,0.0,0.0016077788002373,0.0022737425845915,0.0028533268419763,0.0019727841814833,0.0085183062066496,-0.0012030792035047,0.0017482440865048,13.09000015258789,0.1239493975865371,0.158617675934659,1.1533859720286266,0.0599997374034577,0.0763743761739177,0.0068960825510154,1,1,0,0,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,0.0133580896384548,1,0.0070393485966973,0.0164443832524838,-0.0029609231384111,-0.0181138406587686,-0.0002496459856097,13.09000015258789,-0.0007633762282924,0.003358810585182,0.0104333545168489,,0,0,0,0,0,0.005960879465925202,7.285555831614971,-0.011050680590687123,0.0,,,2.0
2014-04-03,589.44,584.45,590.91,582.83,99127880,0.0133580896384548,-0.001186159216457,0.0188053097345135,52.26655123214664,-3.0565988607555994,5.318853443836214,0.3710087530081501,1.3680974635834835,42.89788933257288,23.113564207623977,-0.0383630249345535,-0.6860855382873285,2.2768679791365307,0.5955941302279245,0.7721349007485157,1.370792616720943,-0.0037338357454826,-0.0130500194397958,-0.0045768900705041,0.0035370540421046,-0.0093819438729321,0.0,0.0,0.0064102787430447,0.0045328242291813,-0.0011264502910314,-0.0090541538833937,-0.0047268311398198,0.0067255385512252,0.0031164297705779,13.369999885559082,0.1651435144944732,0.1776139251507862,1.2373521291328191,0.0898208939648759,0.317882083108334,0.005113614997475,1,1,0,0,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749476,0.0061074918566774,1,0.0028533268419763,0.0019727841814833,0.0085183062066496,-0.0012030792035047,0.0017482440865048,13.369999885559082,0.0213903536827564,0.0018265288399312,0.0084007011550188,,0,0,0,0,0,0.001699424718702865,9.283267318436225,-0.002223850653244643,0.0,,,2.0
